station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Sloane Square,1,23770.55,409.7,13.58,10866.7,0.0377,District/H&C and Circle
Upper Holloway,2,3103.41,60.0,2.0,1600.0,0.0375,LO Suffragette
Pontoon Dock,3,4432.58,199.6,6.67,5333.3,0.0374,DLR
Grange Hill,4,623.27,49.8,1.67,1333.3,0.0373,Central
Beckton,3,3518.19,97.2,3.33,2666.7,0.0364,DLR
Earl's Court,1/2,26051.08,744.7,25.67,20533.3,0.0363,District/Piccadilly
Kilburn,2,9037.87,365.0,12.58,10066.7,0.0363,Jubilee
Aldgate East,1,20775.65,351.6,12.25,9800.0,0.0359,District/H&C and Circle
Wandsworth Road,2,1450.52,57.3,2.0,1600.0,0.0358,LO Windrush
Aldgate,1,13139.38,197.1,6.92,5533.3,0.0356,H&C and Circle/Metropolitan
Bounds Green,3/4,7241.41,322.5,11.33,9066.7,0.0356,Piccadilly
Alperton,4,4073.37,144.3,5.08,4066.7,0.0355,Piccadilly
Angel,1,20044.35,312.4,11.08,8866.7,0.0352,Northern
Crouch Hill,3,1762.11,58.5,2.08,1666.7,0.0351,LO Suffragette
Stamford Brook,2,4013.46,174.8,6.25,5000.0,0.035,District
Kingsbury,4,6758.92,244.8,8.83,7066.7,0.0346,Jubilee
Canada Water,2,15374.16,625.4,22.67,18133.3,0.0345,Jubilee/LO Windrush
North Harrow,5,2651.28,167.8,6.08,4866.7,0.0345,Metropolitan
Chigwell,4,590.88,45.9,1.67,1333.3,0.0344,Central
Bayswater,1,5792.35,161.7,5.92,4733.3,0.0342,District/H&C and Circle
Kensal Green,2,3556.3,177.3,6.5,5200.0,0.0341,Bakerloo/LO Lioness
Langdon Park,2,6956.26,181.1,6.67,5333.3,0.034,DLR
Hornchurch,6,2968.46,168.7,6.25,5000.0,0.0337,District
Hounslow West,5,4440.84,161.5,6.0,4800.0,0.0336,Piccadilly
Watford High Street,8,2607.94,53.8,2.0,1600.0,0.0336,LO Lioness
Becontree,5,5060.93,202.3,7.58,6066.7,0.0334,District
Wimbledon Park,3,3526.86,196.0,7.33,5866.7,0.0334,District
Bow Church,2,5955.84,177.1,6.67,5333.3,0.0332,DLR
Eastcote,5,3935.68,203.8,7.67,6133.3,0.0332,Metropolitan/Piccadilly
Dagenham East,5,4737.25,183.2,6.92,5533.3,0.0331,District
Bermondsey,2,11876.54,386.9,14.67,11733.3,0.033,Jubilee
Bow Road,2,7369.92,322.2,12.25,9800.0,0.0329,District/H&C and Circle
Sudbury Town,4,2864.06,134.2,5.17,4133.3,0.0325,Piccadilly
Wanstead,4,3289.47,174.8,6.75,5400.0,0.0324,Central
Belsize Park,2,9219.27,277.5,10.75,8600.0,0.0323,Northern
Queensbury,4,5362.23,226.8,8.83,7066.7,0.0321,Jubilee
Willesden Junction,2/3,8592.65,294.1,11.5,9200.0,0.032,Bakerloo/LO Lioness/LO Mildmay
Highbury & Islington,2,23456.37,621.8,24.33,19466.7,0.0319,LO Mildmay/LO Windrush/Victoria
London Fields,2,3019.32,126.7,5.0,4000.0,0.0317,LO Weaver
Headstone Lane,5,1122.01,50.6,2.0,1600.0,0.0316,LO Lioness
Kensington (Olympia),2,4504.36,65.3,2.58,2066.7,0.0316,District/LO Mildmay
Totteridge & Whetstone,4,3552.08,221.5,8.75,7000.0,0.0316,Northern
South Harrow,5,3387.63,129.1,5.17,4133.3,0.0312,Piccadilly
South Wimbledon,3/4,6492.87,339.0,13.67,10933.3,0.031,Northern
Heathrow Terminal 4 LU,6,2432.08,37.1,1.5,1200.0,0.0309,Piccadilly
Kentish Town,2,11327.32,267.1,10.92,8733.3,0.0306,Northern
South Acton,3,1823.3,61.0,2.5,2000.0,0.0305,LO Mildmay
Sudbury Hill,4,2845.82,121.9,5.0,4000.0,0.0305,Piccadilly
