transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/25/2022 09:00:00 AM,subway,287,Flushing Av (G),Brooklyn,omny,OMNY - Full Fare,30,2,40.70038,-73.95023,POINT (-73.95023 40.70038)
02/25/2022 10:00:00 PM,subway,196,Aqueduct Racetrack (A),Queens,metrocard,Metrocard - Full Fare,7,0,40.672096,-73.83592,POINT (-73.83592 40.672096)
02/25/2022 09:00:00 AM,subway,450,103 St-Corona Plaza (7),Queens,metrocard,Metrocard - Other,62,1,40.749866,-73.8627,POINT (-73.8627 40.749866)
02/25/2022 03:00:00 AM,subway,89,Cleveland St (J),Brooklyn,metrocard,Metrocard - Seniors & Disability,1,0,40.679947,-73.884636,POINT (-73.884636 40.679947)
02/25/2022 10:00:00 AM,subway,238,"Smith-9 Sts (F,G)",Brooklyn,omny,OMNY - Full Fare,15,0,40.67358,-73.99596,POINT (-73.99596 40.67358)
02/25/2022 03:00:00 PM,subway,396,96 St (6),Manhattan,metrocard,Metrocard - Fair Fare,26,0,40.78567,-73.95107,POINT (-73.95107 40.78567)
02/25/2022 11:00:00 AM,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Seniors & Disability,5,0,40.750584,-73.9402,POINT (-73.9402 40.750584)
02/25/2022 08:00:00 PM,subway,160,"72 St (C,B)",Manhattan,omny,OMNY - Full Fare,66,3,40.775593,-73.97641,POINT (-73.97641 40.775593)
02/25/2022 05:00:00 PM,subway,34,53 St (R),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,40,0,40.64507,-74.01403,POINT (-74.01403 40.64507)
02/25/2022 09:00:00 AM,subway,296,Marble Hill-225 St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,6,2,40.87456,-73.90983,POINT (-73.90983 40.87456)
02/25/2022 11:00:00 AM,subway,260,"75 Av (E,F)",Queens,metrocard,Metrocard - Students,1,0,40.71833,-73.837326,POINT (-73.837326 40.71833)
02/25/2022 11:00:00 AM,subway,348,Rockaway Av (3),Brooklyn,metrocard,Metrocard - Seniors & Disability,12,1,40.662548,-73.90894,POINT (-73.90894 40.662548)
02/25/2022 12:00:00 AM,subway,39,Bay Ridge-95 St (R),Brooklyn,metrocard,Metrocard - Other,2,0,40.616623,-74.030876,POINT (-74.030876 40.616623)
02/25/2022 03:00:00 PM,subway,208,Beach 25 St (A),Queens,metrocard,Metrocard - Unlimited 30-Day,3,0,40.600067,-73.76135,POINT (-73.76135 40.600067)
02/25/2022 04:00:00 PM,subway,362,Middletown Rd (6),Bronx,metrocard,Metrocard - Fair Fare,2,0,40.843864,-73.83632,POINT (-73.83632 40.843864)
