line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
Central,EB,West Ruislip,Ruislip Gardens,153.0,10.0,24.0,54.0,25.0,27.0,13.0
Central,EB,Ruislip Gardens,South Ruislip,166.0,16.0,26.0,54.0,30.0,26.0,14.0
Central,EB,South Ruislip,Northolt,166.0,15.0,26.0,55.0,29.0,27.0,14.0
Central,EB,Northolt,Greenford,198.0,15.0,32.0,72.0,38.0,27.0,14.0
Central,EB,Greenford,Perivale,198.0,14.0,33.0,71.0,39.0,27.0,14.0
Central,EB,Perivale,Hanger Lane,198.0,14.0,32.0,72.0,39.0,26.0,15.0
Central,EB,Hanger Lane,North Acton,198.0,13.0,33.0,71.0,39.0,27.0,15.0
Central,EB,Ealing Broadway,West Acton,174.0,11.0,29.0,53.0,30.0,28.0,23.0
Central,EB,West Acton,North Acton,174.0,11.0,28.0,54.0,30.0,27.0,24.0
Central,EB,North Acton,East Acton,403.0,24.0,69.0,127.0,76.0,63.0,44.0
Central,EB,East Acton,White City,403.0,23.0,69.0,127.0,76.0,63.0,45.0
Central,EB,White City,Shepherd's Bush LU,450.0,24.0,80.0,145.0,87.0,73.0,41.0
Central,EB,Shepherd's Bush LU,Holland Park,450.0,23.0,80.0,145.0,87.0,73.0,42.0
Central,EB,Holland Park,Notting Hill Gate,450.0,23.0,79.0,145.0,87.0,73.0,43.0
Central,EB,Notting Hill Gate,Queensway,450.0,22.0,79.0,146.0,87.0,72.0,44.0
Central,EB,Queensway,Lancaster Gate,450.0,22.0,79.0,145.0,87.0,73.0,44.0
Central,EB,Lancaster Gate,Marble Arch,450.0,21.0,79.0,145.0,87.0,73.0,45.0
Central,EB,Marble Arch,Bond Street,450.0,20.0,79.0,145.0,87.0,73.0,46.0
Central,EB,Bond Street,Oxford Circus,450.0,20.0,78.0,146.0,87.0,73.0,46.0
Central,EB,Oxford Circus,Tottenham Court Road,450.0,19.0,79.0,145.0,87.0,73.0,47.0
Central,EB,Tottenham Court Road,Holborn,450.0,19.0,78.0,145.0,87.0,73.0,48.0
Central,EB,Holborn,Chancery Lane,450.0,18.0,78.0,146.0,86.0,74.0,48.0
Central,EB,Chancery Lane,St. Paul's,450.0,18.0,78.0,145.0,87.0,73.0,49.0
Central,EB,St. Paul's,Bank and Monument,450.0,17.0,78.0,145.0,87.0,73.0,50.0
Central,EB,Bank and Monument,Liverpool Street LU,450.0,17.0,77.0,146.0,86.0,74.0,50.0
Central,EB,Liverpool Street LU,Bethnal Green LU,450.0,16.0,77.0,146.0,86.0,74.0,51.0
Central,EB,Bethnal Green LU,Mile End,450.0,15.0,77.0,146.0,86.0,74.0,52.0
Central,EB,Mile End,Stratford,450.0,14.0,77.0,146.0,86.0,74.0,53.0
Central,EB,Stratford,Leyton,450.0,13.0,76.0,146.0,86.0,74.0,55.0
Central,EB,Leyton,Leytonstone,450.0,12.0,76.0,146.0,85.0,75.0,56.0
Central,EB,Leytonstone,Snaresbrook,225.0,11.0,37.0,72.0,43.0,37.0,25.0
Central,EB,Snaresbrook,South Woodford,225.0,11.0,36.0,73.0,42.0,38.0,25.0
Central,EB,South Woodford,Woodford,225.0,10.0,37.0,72.0,43.0,37.0,26.0
Central,EB,Woodford,Buckhurst Hill,228.0,14.0,36.0,73.0,41.0,38.0,26.0
Central,EB,Buckhurst Hill,Loughton,228.0,14.0,36.0,72.0,41.0,38.0,27.0
Central,EB,Loughton,Debden,166.0,19.0,21.0,52.0,23.0,27.0,24.0
Central,EB,Debden,Theydon Bois,166.0,18.0,22.0,51.0,24.0,26.0,25.0
Central,EB,Theydon Bois,Epping,166.0,19.0,22.0,51.0,23.0,27.0,24.0
Central,EB,Leytonstone,Wanstead,229.0,4.0,39.0,74.0,42.0,38.0,32.0
Central,EB,Wanstead,Redbridge,229.0,4.0,39.0,73.0,43.0,37.0,33.0
Central,EB,Redbridge,Gants Hill,229.0,4.0,38.0,74.0,42.0,38.0,33.0
Central,EB,Gants Hill,Newbury Park,229.0,4.0,37.0,74.0,43.0,37.0,34.0
Central,EB,Newbury Park,Barkingside,189.0,3.0,30.0,57.0,33.0,32.0,34.0
Central,EB,Barkingside,Fairlop,189.0,3.0,30.0,56.0,33.0,33.0,34.0
Central,EB,Fairlop,Hainault,189.0,3.0,30.0,56.0,33.0,32.0,35.0
Central,EB,Hainault,Grange Hill,55.0,3.0,9.0,18.0,9.0,9.0,7.0
Central,EB,Grange Hill,Chigwell,60.0,6.0,11.0,18.0,9.0,9.0,7.0
Central,EB,Chigwell,Roding Valley,60.0,6.0,11.0,18.0,9.0,9.0,7.0
Central,EB,Roding Valley,Woodford,60.0,6.0,11.0,18.0,9.0,9.0,7.0
Central,WB,Epping,Theydon Bois,166.0,17.0,22.0,52.0,22.0,27.0,26.0
Central,WB,Theydon Bois,Debden,166.0,17.0,22.0,51.0,23.0,27.0,26.0
Central,WB,Debden,Loughton,168.0,16.0,25.0,50.0,23.0,27.0,27.0
Central,WB,Loughton,Buckhurst Hill,228.0,15.0,40.0,72.0,40.0,39.0,22.0
Central,WB,Buckhurst Hill,Woodford,228.0,15.0,40.0,72.0,40.0,39.0,22.0
Central,WB,Woodford,South Woodford,230.0,17.0,42.0,72.0,40.0,39.0,20.0
Central,WB,South Woodford,Snaresbrook,230.0,16.0,43.0,72.0,39.0,40.0,20.0
Central,WB,Snaresbrook,Leytonstone,230.0,16.0,42.0,72.0,40.0,39.0,21.0
Central,WB,Woodford,Roding Valley,55.0,2.0,9.0,18.0,10.0,9.0,7.0
Central,WB,Roding Valley,Chigwell,55.0,2.0,9.0,18.0,10.0,9.0,7.0
Central,WB,Chigwell,Grange Hill,55.0,2.0,9.0,18.0,10.0,9.0,7.0
Central,WB,Grange Hill,Hainault,54.0,2.0,9.0,18.0,9.0,9.0,7.0
Central,WB,Hainault,Fairlop,184.0,17.0,36.0,58.0,31.0,28.0,14.0
Central,WB,Fairlop,Barkingside,184.0,17.0,36.0,58.0,31.0,28.0,14.0
Central,WB,Barkingside,Newbury Park,184.0,16.0,36.0,59.0,31.0,27.0,15.0
Central,WB,Newbury Park,Gants Hill,224.0,16.0,42.0,76.0,41.0,33.0,16.0
Central,WB,Gants Hill,Redbridge,224.0,15.0,43.0,76.0,41.0,33.0,16.0
Central,WB,Redbridge,Wanstead,224.0,15.0,42.0,76.0,42.0,32.0,17.0
Central,WB,Wanstead,Leytonstone,224.0,15.0,42.0,76.0,41.0,33.0,17.0
Central,WB,Leytonstone,Leyton,450.0,27.0,85.0,147.0,81.0,73.0,37.0
